campus,site_id,tipo,zona,sensor,ano,t_relativo,footprint_excluido,pixels_validos,pct_construida
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,2022,5,False,874,72.1968
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,2023,6,False,874,70.0229
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,landsat,2014,-3,False,2611,35.2738
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,landsat,2015,-2,False,2611,35.7334
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,landsat,2016,-1,False,2611,38.7591
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,landsat,2017,0,False,2611,38.5293
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,landsat,2018,1,False,2611,37.8016
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,landsat,2019,2,False,2611,36.6143
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,landsat,2020,3,False,2611,39.9464
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,landsat,2021,4,False,2611,44.0061
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,landsat,2022,5,False,2611,40.9422
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,landsat,2023,6,False,2611,40.8273
