campus,site_id,tipo,zona,sensor,classe_id,classe,pct_inicio,pct_fim,delta_pp
everest-goiania,everest-goiania,tratamento,0-0.5km,landsat,4,construida_urbana,93.4361,91.2671,-2.1689
everest-goiania,everest-goiania,tratamento,0-0.5km,landsat,5,agua,0.0,0.0,0.0
everest-goiania,everest-goiania,tratamento,0.5-1km,landsat,1,vegetacao_densa,1.0065,1.1584,0.1519
everest-goiania,everest-goiania,tratamento,0.5-1km,landsat,2,vegetacao_rala,12.5142,14.3373,1.823
everest-goiania,everest-goiania,tratamento,0.5-1km,landsat,3,solo_exposto_obras,1.1964,0.8355,-0.3608
everest-goiania,everest-goiania,tratamento,0.5-1km,landsat,4,construida_urbana,85.264,83.6688,-1.5951
everest-goiania,everest-goiania,tratamento,0.5-1km,landsat,5,agua,0.019,0.0,-0.019
everest-goiania,ctrl-everest-goiania-p01,controle,0-0.5km,landsat,1,vegetacao_densa,26.484,28.71,2.226
everest-goiania,ctrl-everest-goiania-p01,controle,0-0.5km,landsat,2,vegetacao_rala,72.2603,59.3037,-12.9566
everest-goiania,ctrl-everest-goiania-p01,controle,0-0.5km,landsat,3,solo_exposto_obras,0.0571,0.5137,0.4566
everest-goiania,ctrl-everest-goiania-p01,controle,0-0.5km,landsat,4,construida_urbana,0.8562,10.1027,9.2466
everest-goiania,ctrl-everest-goiania-p01,controle,0-0.5km,landsat,5,agua,0.3425,1.3699,1.0274
everest-goiania,ctrl-everest-goiania-p01,controle,0.5-1km,landsat,1,vegetacao_densa,19.5256,19.6584,0.1328
everest-goiania,ctrl-everest-goiania-p01,controle,0.5-1km,landsat,2,vegetacao_rala,74.5161,71.0057,-3.5104
