campus_id,lat,lon,dist_km,l1_dw,ano_referencia
exp-odata-sp01,-23.53615168874445,-47.2467324587127,35,0.4209,2015
exp-odata-sp01,-23.454660613040428,-47.258218882447295,35,0.3876,2015
exp-odata-sp01,-23.373219793738343,-47.24632354540449,35,0.5303,2015
exp-odata-sp01,-23.297374041267865,-47.211897713731105,35,0.5568,2015
exp-odata-sp01,-23.232278308700778,-47.15731680254936,35,0.8318,2015
exp-odata-sp01,-23.182350119392026,-47.08631080656613,35,0.5256,2015
exp-odata-sp01,-23.09530709997161,-46.91510647119537,40,0.3016,2015
exp-odata-sp01,-23.107531972940922,-46.81388108962045,40,0.4693,2015
exp-odata-sp01,-23.143379905628745,-46.71950151428268,40,0.2936,2015
exp-odata-sp01,-23.200425500547237,-46.63836083961331,40,0.4384,2015
exp-odata-sp01,-23.27480533120471,-46.57597403499284,40,0.4285,2015
exp-odata-sp01,-23.361474867614064,-46.5366061343305,40,0.731,2015
exp-odata-sp01,-23.54768232902632,-46.53607204559768,40,1.3921,2015
exp-odata-sp01,-23.76644658980899,-46.71857641117754,40,0.3541,2015
exp-odata-sp01,-23.80247386660151,-46.813346975789614,40,0.4641,2015
exp-odata-sp01,-23.814764384706592,-46.91510647119537,40,0.7876,2015
exp-odata-sp01,-23.80247386660151,-47.016865966601074,40,0.7956,2015
exp-odata-sp01,-23.76644658980899,-47.11163653121321,40,0.5934,2015
exp-odata-sp01,-23.709156010407796,-47.19292030534041,40,0.3794,2015
exp-odata-sp01,-23.634531200025204,-47.255163985405034,40,0.3738,2015
exp-odata-sp01,-23.54768232902632,-47.29414089679307,40,0.4648,2015
exp-odata-sp01,-23.4545457781311,-47.30723471386955,40,0.4717,2015
exp-odata-sp01,-23.361474867614064,-47.29360680806019,40,0.3875,2015
exp-odata-sp01,-23.27480533120471,-47.254238907397905,40,0.4434,2015
exp-odata-sp01,-23.200425500547237,-47.191852102777375,40,0.8941,2015
exp-odata-sp01,-23.143379905628745,-47.11071142810806,40,0.5834,2015
exp-quantico-data-center,-29.773699403235877,-51.08815676036056,15,0.5036,2019
exp-quantico-data-center,-29.78715911743025,-51.050663458161694,15,0.8846,2019
exp-quantico-data-center,-29.80857416137176,-51.018448320239486,15,0.9945,2019
exp-quantico-data-center,-29.83648967450864,-50.993703909631904,15,0.9486,2019
exp-quantico-data-center,-29.869007813297124,-50.97811927635155,15,0.8496,2019
exp-quantico-data-center,-29.90391586926826,-50.97276413134449,15,0.5536,2019
exp-quantico-data-center,-29.938836161163685,-50.97801391869575,15,0.4331,2019
exp-quantico-data-center,-29.971387729172868,-50.99352142451153,15,0.5754,2019
exp-quantico-data-center,-29.999348907601984,-51.01823760408746,15,0.61,2019
exp-quantico-data-center,-29.938836161163685,-51.27874768130425,15,1.0243,2019
exp-quantico-data-center,-29.90391586926826,-51.283997468655514,15,0.852,2019
exp-quantico-data-center,-29.869007813297124,-51.278642323648455,15,0.7253,2019
exp-quantico-data-center,-29.83648967450864,-51.2630576903681,15,0.7548,2019
exp-quantico-data-center,-29.80857416137176,-51.23831327976052,15,0.9661,2019
