campus_id,pais,lat,lon,n_predios,nome,operadora,municipio,uf,ano_operacional,fonte,origem_data,no_estudo_atual,tem_data,pct_veg_densa,pct_veg_rala,pct_solo_exposto,pct_construida,pct_agua,lst_campus,lst_referencia,anomalia_termica_c,frac_built_inicio,greenfield
us-0384,US,40.1295611,-74.0427733,1,Manasquan Cable Landing Station (TAT-14),Sprint,,,,osm,,False,False,1.5147253911459146,5.692516114058898,0.0,91.24600545983137,1.5467530349638179,29.394124052786882,22.402568206179843,6.991555846607039,1.0,False
us-0385,US,40.2392258,-74.3195376,1,Verizon Freehold Data Center,Verizon,,,,osm,,False,False,23.876918872574258,16.586564692455962,0.0,59.06539250223965,0.47112393273012293,29.068706941767623,26.3417093495109,2.7269975922567227,1.0,False
us-0386,US,41.14181575,-104.71720515,2,,,,,2023.0,osm,derivada_dynamic_world,False,True,0.04349756496226524,36.841659085603744,9.3275221396625,53.22975115728487,0.5575700524866186,30.416162365628683,32.35210656924359,-1.9359442036149055,0.0,True
us-0387,US,41.6672384,-93.45571365,2,Lightedge Des Moines 2,,,,,osm,,False,False,13.600081962921584,53.3405823058776,0.8356375988329331,31.717032806638723,0.5066653257291635,24.822437021722596,24.070229948469787,0.7522070732528086,1.0,False
us-0388,US,41.041059,-80.633078,1,Carrier Services Group,,,,,osm,,False,False,34.82090411906551,2.2915970622681185,0.0,62.84868832511516,0.03881049355120199,25.93775254865426,24.751689850639284,1.1860626980149753,0.97,False
us-0389,US,35.951045,-86.833406,1,Flexential Nashville - Cool Springs,Flexential,,,,osm,,False,False,17.79320253807833,21.27687626153882,0.0,59.453770279013064,1.4761509213697794,28.35418694374145,26.544433622026236,1.8097533217152133,1.0,False
us-0390,US,43.6383333,-89.7214027,1,,,,,,osm,,False,False,51.799508551092394,39.479467388711264,0.9235535578501598,7.797470502346174,0.0,22.632275157623802,21.485530062844592,1.1467450947792095,0.0,True
us-0391,US,36.409457825,-86.36847625,4,Gallatin Data Center,Meta,,,2021.0,osm,derivada_dynamic_world,False,True,26.142308152735197,41.048426204162304,6.863253343288973,24.168758230141645,1.77725406967189,26.699531332983153,25.25232327447228,1.4472080585108742,0.0,True
us-0392,US,30.2156048,-97.6189387,1,Cortex supercomputer,,,,2022.0,osm,derivada_dynamic_world,False,True,16.80246523446644,17.584065429931858,38.044426550746884,22.59684246679871,4.9722003180561165,31.997743288067543,31.749340516405123,0.24840277166241975,0.0,True
us-0393,US,32.6512011,-97.3196729,1,Novartis,,,,,osm,,False,False,10.204526106343048,11.095478383231107,6.296399563184601,72.40359594724126,0.0,35.28532057927472,32.90352698244356,2.3817935968311588,1.0,False
us-0394,US,32.3096657,-106.7291929,1,,CenturyLink,,,,osm,,False,False,0.0,0.024450891051197594,35.85845160763806,64.11709750131074,0.0,43.44081705852037,41.551015994401,1.889801064119375,1.0,False
us-0395,US,36.2218945,-115.1470466,1,Verizon North Las Vegas,Verizon,,,,osm,,False,False,0.0,0.018152504221855537,16.05834591127301,83.88978979095026,0.03371179355487457,41.934147111248336,42.13842192979501,-0.20427481854667207,1.0,False
