site_id,tipo,pareado_com,municipio,uf,ano,lst_media_celsius,lst_mediana_celsius,lst_desvio_celsius,lst_n_cenas,fonte,colecao_gee,data_extracao
ctrl-everest-goiania-p01,controle,everest-goiania,Goiânia,GO,2020,32.4479,31.0241,4.3652,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-everest-goiania-p01,controle,everest-goiania,Goiânia,GO,2021,31.4825,30.5758,3.3383,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-everest-goiania-p01,controle,everest-goiania,Goiânia,GO,2022,31.2662,30.4384,3.3726,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-everest-goiania-p01,controle,everest-goiania,Goiânia,GO,2023,31.2719,30.7609,3.3826,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-everest-goiania-p01,controle,everest-goiania,Goiânia,GO,2024,30.6301,30.0747,2.654,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
everest-goiania,tratamento,everest-goiania,Goiânia,GO,2018,34.6203,34.7479,3.0625,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
everest-goiania,tratamento,everest-goiania,Goiânia,GO,2019,36.1558,36.564,3.8152,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
everest-goiania,tratamento,everest-goiania,Goiânia,GO,2020,35.4273,35.3437,4.1747,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
everest-goiania,tratamento,everest-goiania,Goiânia,GO,2021,34.9373,34.5995,3.1434,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
everest-goiania,tratamento,everest-goiania,Goiânia,GO,2022,34.2104,34.6063,3.0911,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
everest-goiania,tratamento,everest-goiania,Goiânia,GO,2023,34.1233,33.9207,3.6756,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
everest-goiania,tratamento,everest-goiania,Goiânia,GO,2024,32.998,33.3369,2.849,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-hostdime-joao-pessoa-p01,controle,hostdime-joao-pessoa,Conde,PB,2014,29.1769,29.1967,2.0262,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-hostdime-joao-pessoa-p01,controle,hostdime-joao-pessoa,Conde,PB,2015,29.884,30.1485,2.6145,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-hostdime-joao-pessoa-p01,controle,hostdime-joao-pessoa,Conde,PB,2016,30.1354,29.824,2.5398,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-hostdime-joao-pessoa-p01,controle,hostdime-joao-pessoa,Conde,PB,2017,29.3324,29.1528,2.7016,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-hostdime-joao-pessoa-p01,controle,hostdime-joao-pessoa,Conde,PB,2018,29.6155,29.7809,3.0164,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
