site_id,tipo,pareado_com,ids_datacenter,n_predios_no_campus,municipio,uf,lat,lon,buffer_km,ano,ano_inicio_obra,ano_fim_obra,ano_relativo_ao_inicio_obra,fase,sensor,resolucao_m,pixels_validos,modelo_versao,area_ha_vegetacao_densa,area_ha_vegetacao_rala,area_ha_solo_exposto_obras,area_ha_construida_urbana,area_ha_agua,prop_vegetacao_densa,prop_vegetacao_rala,prop_solo_exposto_obras,prop_construida_urbana,prop_agua
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,dc_541dfaf17f,1,Americana,SP,-22.707019,-47.303129,5.0,2017,2019,2019,-2,pre,landsat,30,111556,rf_v1.0-tuned,893.7,4853.88,61.2,3786.21,445.05,0.089014,0.483452,0.006096,0.377111,0.044328
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,dc_541dfaf17f,1,Americana,SP,-22.707019,-47.303129,5.0,2018,2019,2019,-1,pre,landsat,30,111556,rf_v1.0-tuned,1068.84,4780.26,72.54,3837.6,280.8,0.106458,0.47612,0.007225,0.38223,0.027968
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,dc_541dfaf17f,1,Americana,SP,-22.707019,-47.303129,5.0,2019,2019,2019,0,durante,landsat,30,111556,rf_v1.0-tuned,1225.89,4404.78,59.67,3932.55,417.15,0.1221,0.438721,0.005943,0.391687,0.041549
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,dc_541dfaf17f,1,Americana,SP,-22.707019,-47.303129,5.0,2020,2019,2019,1,pos,landsat,30,111556,rf_v1.0-tuned,920.07,4771.08,61.74,3870.45,416.7,0.09164,0.475205,0.006149,0.385501,0.041504
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,dc_541dfaf17f,1,Americana,SP,-22.707019,-47.303129,5.0,2021,2019,2019,2,pos,landsat,30,111556,rf_v1.0-tuned,503.73,4688.19,75.96,4368.24,403.92,0.050172,0.466949,0.007566,0.435082,0.040231
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,dc_541dfaf17f,1,Americana,SP,-22.707019,-47.303129,5.0,2022,2019,2019,3,pos,landsat,30,111556,rf_v1.0-tuned,709.74,4872.87,73.98,3955.5,427.95,0.070691,0.485344,0.007368,0.393973,0.042624
ascenty-paulinia,tratamento,ascenty-paulinia,dc_541dfaf17f,1,Paulínia,SP,-22.7974087,-47.1345476,5.0,2016,2019,2019,-3,pre,landsat,30,111556,rf_v1.0-tuned,760.86,4973.67,97.65,4092.39,115.47,0.075783,0.495383,0.009726,0.407607,0.011501
ascenty-paulinia,tratamento,ascenty-paulinia,dc_541dfaf17f,1,Paulínia,SP,-22.7974087,-47.1345476,5.0,2017,2019,2019,-2,pre,landsat,30,111556,rf_v1.0-tuned,796.68,5144.31,97.02,3900.6,101.43,0.07935,0.512379,0.009663,0.388504,0.010103
ascenty-paulinia,tratamento,ascenty-paulinia,dc_541dfaf17f,1,Paulínia,SP,-22.7974087,-47.1345476,5.0,2018,2019,2019,-1,pre,landsat,30,111556,rf_v1.0-tuned,893.34,4850.82,98.46,4103.19,94.23,0.088978,0.483147,0.009807,0.408683,0.009385
ascenty-paulinia,tratamento,ascenty-paulinia,dc_541dfaf17f,1,Paulínia,SP,-22.7974087,-47.1345476,5.0,2019,2019,2019,0,durante,landsat,30,111556,rf_v1.0-tuned,1247.4,4988.34,69.21,3640.14,94.95,0.124243,0.496845,0.006893,0.362562,0.009457
ascenty-paulinia,tratamento,ascenty-paulinia,dc_541dfaf17f,1,Paulínia,SP,-22.7974087,-47.1345476,5.0,2020,2019,2019,1,pos,landsat,30,111556,rf_v1.0-tuned,975.96,4964.31,84.6,3926.97,88.2,0.097207,0.494451,0.008426,0.391131,0.008785
ascenty-paulinia,tratamento,ascenty-paulinia,dc_541dfaf17f,1,Paulínia,SP,-22.7974087,-47.1345476,5.0,2021,2019,2019,2,pos,landsat,30,111556,rf_v1.0-tuned,625.05,4857.3,129.33,4351.59,76.77,0.062256,0.483793,0.012881,0.433424,0.007646
