pareado_com,site_id,tipo,zona,sensor,ano,t_relativo,footprint_excluido,pixels_validos,pct_construida
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,landsat,2022,2,False,2618,72.5745
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,landsat,2023,3,False,2616,67.4312
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,1-2km,landsat,2017,-3,False,10456,78.5865
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,1-2km,landsat,2018,-2,False,10467,78.2173
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,1-2km,landsat,2019,-1,False,10467,76.8224
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,1-2km,landsat,2020,0,False,10276,77.5204
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,1-2km,landsat,2021,1,False,10460,78.7763
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,1-2km,landsat,2022,2,False,10471,78.2924
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,1-2km,landsat,2023,3,False,10432,77.1568
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,landsat,2017,-3,True,855,82.4561
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,landsat,2018,-2,True,855,78.9474
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,landsat,2019,-1,True,855,75.9064
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,landsat,2020,0,True,855,80.117
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,landsat,2021,1,True,855,84.7953
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,landsat,2022,2,True,855,80.3509
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,landsat,2023,3,True,846,82.2695
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,landsat,2017,-3,True,2618,84.7976
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,landsat,2018,-2,True,2618,83.3079
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,landsat,2019,-1,True,2618,81.7036
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,landsat,2020,0,True,2618,83.7662
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,landsat,2021,1,True,2618,87.1276
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,landsat,2022,2,True,2618,84.5684
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,landsat,2023,3,True,2618,82.3911
ascenty-osasco,ascenty-osasco,tratamento,1-2km,landsat,2017,-3,True,10470,88.3477
ascenty-osasco,ascenty-osasco,tratamento,1-2km,landsat,2018,-2,True,10470,88.2999
ascenty-osasco,ascenty-osasco,tratamento,1-2km,landsat,2019,-1,True,10470,87.0296
ascenty-osasco,ascenty-osasco,tratamento,1-2km,landsat,2020,0,True,10470,88.5387
ascenty-osasco,ascenty-osasco,tratamento,1-2km,landsat,2021,1,True,10470,90.8023
ascenty-osasco,ascenty-osasco,tratamento,1-2km,landsat,2022,2,True,10470,90.0669
ascenty-osasco,ascenty-osasco,tratamento,1-2km,landsat,2023,3,True,10449,88.6018
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,2016,-3,False,871,72.9047
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,2017,-2,False,871,73.8232
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,2018,-1,False,871,70.4937
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,2019,0,False,871,71.2974
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,2020,1,False,871,73.8232
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,2021,2,False,871,76.2342
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,2022,3,False,871,76.8083
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,2016,-3,False,2627,53.6734
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,2017,-2,False,2627,54.8534
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,2018,-1,False,2627,52.4933
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,2019,0,False,2627,51.5797
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,2020,1,False,2627,52.2269
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,2021,2,False,2627,56.0335
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,2022,3,False,2627,54.3967
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,1-2km,landsat,2016,-3,False,10469,60.2254
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,1-2km,landsat,2017,-2,False,10469,60.598
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,1-2km,landsat,2018,-1,False,10469,59.2416
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,1-2km,landsat,2019,0,False,10469,57.0351
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,1-2km,landsat,2020,1,False,10469,58.7735
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,1-2km,landsat,2021,2,False,10469,61.2761
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,1-2km,landsat,2022,3,False,10469,61.6487
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,2016,-3,True,847,66.588
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,2017,-2,True,847,64.5809
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,2018,-1,True,847,60.0945
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,2019,0,True,847,70.0118
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,2020,1,True,847,72.8453
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,2021,2,True,847,73.5537
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,2022,3,True,847,72.6092
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,2016,-3,True,2610,59.5402
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,2017,-2,True,2610,60.2682
