campus,site_id,tipo,zona,ano,t_relativo,pixels_validos,lst_media_c
everest-goiania,ctrl-everest-goiania-p01,controle,0.5-1km,2021,0,2635,34.2499
everest-goiania,ctrl-everest-goiania-p01,controle,0.5-1km,2022,1,2635,32.2199
everest-goiania,ctrl-everest-goiania-p01,controle,0.5-1km,2023,2,2635,33.0091
everest-goiania,ctrl-everest-goiania-p01,controle,0.5-1km,2024,3,2635,31.9789
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,0-0.5km,2014,-3,896,36.1699
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,0-0.5km,2015,-2,896,35.8731
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,0-0.5km,2016,-1,896,37.8027
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,0-0.5km,2017,0,896,35.5158
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,0-0.5km,2018,1,896,36.6118
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,0-0.5km,2019,2,896,30.2108
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,0-0.5km,2020,3,884,33.4014
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,0.5-1km,2014,-3,2698,36.3325
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,0.5-1km,2015,-2,2698,36.843
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,0.5-1km,2016,-1,2688,38.3486
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,0.5-1km,2017,0,2682,35.8512
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,0.5-1km,2018,1,2698,39.7479
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,0.5-1km,2019,2,2679,30.1387
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,0.5-1km,2020,3,2208,33.5165
