site_id,tipo,pareado_com,municipio,uf,codigo_ibge,ano,populacao,populacao_tipo_estimativa,emprego_formal_total,pessoal_ocupado_total,numero_empresas,pib_mil_reais,municipio_compartilhado_com_par,data_extracao
ctrl-equinix-santana-parnaiba-p01,controle,equinix-santana-parnaiba,Cajamar,SP,3509205,2022,92689.0,censo,51756.0,57072.0,4695.0,24330164.0,False,2026-09-06
ctrl-equinix-santana-parnaiba-p01,controle,equinix-santana-parnaiba,Cajamar,SP,3509205,2023,,,57687.0,63436.0,5328.0,28984602.0,False,2026-09-06
equinix-santana-parnaiba,tratamento,equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2017,131887.0,estimativa_intercensitaria,54197.0,68205.0,9034.0,8784815.0,False,2026-09-06
equinix-santana-parnaiba,tratamento,equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2018,136517.0,estimativa_intercensitaria,53866.0,66464.0,8260.0,9231821.0,False,2026-09-06
equinix-santana-parnaiba,tratamento,equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2019,139447.0,estimativa_intercensitaria,55042.0,67582.0,9427.0,9475380.0,False,2026-09-06
equinix-santana-parnaiba,tratamento,equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2020,142301.0,estimativa_intercensitaria,53933.0,66805.0,9496.0,9962481.0,False,2026-09-06
equinix-santana-parnaiba,tratamento,equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2021,145073.0,estimativa_intercensitaria,55735.0,68748.0,9606.0,11544903.0,False,2026-09-06
equinix-santana-parnaiba,tratamento,equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2022,154105.0,censo,60682.0,83151.0,15190.0,12774324.0,False,2026-09-06
equinix-santana-parnaiba,tratamento,equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2023,,,62749.0,85979.0,15675.0,14328397.0,False,2026-09-06
ctrl-everest-goiania-p01,controle,everest-goiania,Goiânia,GO,5208707,2018,1495705.0,estimativa_intercensitaria,580767.0,658062.0,59951.0,49347603.0,True,2026-09-06
ctrl-everest-goiania-p01,controle,everest-goiania,Goiânia,GO,5208707,2019,1516113.0,estimativa_intercensitaria,578917.0,661028.0,65866.0,52978067.0,True,2026-09-06
ctrl-everest-goiania-p01,controle,everest-goiania,Goiânia,GO,5208707,2020,1536097.0,estimativa_intercensitaria,546141.0,633958.0,68827.0,51830626.0,True,2026-09-06
ctrl-everest-goiania-p01,controle,everest-goiania,Goiânia,GO,5208707,2021,1555626.0,estimativa_intercensitaria,575699.0,670431.0,74298.0,59870499.0,True,2026-09-06
ctrl-everest-goiania-p01,controle,everest-goiania,Goiânia,GO,5208707,2022,1437366.0,censo,618316.0,779881.0,118063.0,66273858.0,True,2026-09-06
ctrl-everest-goiania-p01,controle,everest-goiania,Goiânia,GO,5208707,2023,,,652049.0,826232.0,128111.0,75780846.0,True,2026-09-06
ctrl-everest-goiania-p01,controle,everest-goiania,Goiânia,GO,5208707,2024,1494599.0,estimativa_intercensitaria,674435.0,859452.0,137098.0,,True,2026-09-06
everest-goiania,tratamento,everest-goiania,Goiânia,GO,5208707,2018,1495705.0,estimativa_intercensitaria,580767.0,658062.0,59951.0,49347603.0,True,2026-09-06
everest-goiania,tratamento,everest-goiania,Goiânia,GO,5208707,2019,1516113.0,estimativa_intercensitaria,578917.0,661028.0,65866.0,52978067.0,True,2026-09-06
everest-goiania,tratamento,everest-goiania,Goiânia,GO,5208707,2020,1536097.0,estimativa_intercensitaria,546141.0,633958.0,68827.0,51830626.0,True,2026-09-06
everest-goiania,tratamento,everest-goiania,Goiânia,GO,5208707,2021,1555626.0,estimativa_intercensitaria,575699.0,670431.0,74298.0,59870499.0,True,2026-09-06
everest-goiania,tratamento,everest-goiania,Goiânia,GO,5208707,2022,1437366.0,censo,618316.0,779881.0,118063.0,66273858.0,True,2026-09-06
everest-goiania,tratamento,everest-goiania,Goiânia,GO,5208707,2023,,,652049.0,826232.0,128111.0,75780846.0,True,2026-09-06
everest-goiania,tratamento,everest-goiania,Goiânia,GO,5208707,2024,1494599.0,estimativa_intercensitaria,674435.0,859452.0,137098.0,,True,2026-09-06
ctrl-hostdime-joao-pessoa-p01,controle,hostdime-joao-pessoa,Conde,PB,2504603,2014,,,4315.0,4695.0,329.0,563976.0,False,2026-09-06
ctrl-hostdime-joao-pessoa-p01,controle,hostdime-joao-pessoa,Conde,PB,2504603,2015,,,4285.0,4667.0,363.0,567721.0,False,2026-09-06
